customer_id,age,gender,city,income_band
CUST0001,56,Male,Jaipur,High
CUST0002,69,Female,Lucknow,Middle
CUST0003,46,Female,Mumbai,Upper Middle
CUST0004,32,Female,Mumbai,High
CUST0005,60,Male,Mumbai,Upper Middle
CUST0006,25,Male,Pune,Low
CUST0007,38,Female,Pune,Middle
CUST0008,56,Female,Bengaluru,Middle
CUST0009,36,Male,Bengaluru,Middle
CUST0010,40,Female,Mumbai,Upper Middle
CUST0011,28,Female,Hyderabad,High
CUST0012,28,Female,Delhi,High
CUST0013,41,Male,Pune,Middle
CUST0014,70,Male,Hyderabad,Low
CUST0015,53,Male,Chennai,High
CUST0016,57,Female,Pune,Upper Middle
CUST0017,41,Female,Pune,Low
CUST0018,20,Female,Bengaluru,High
CUST0019,39,Male,Delhi,Upper Middle
CUST0020,70,Female,Delhi,Middle
CUST0021,19,Female,Jaipur,Middle
CUST0022,41,Female,Lucknow,Middle
CUST0023,61,Female,Lucknow,Low
CUST0024,47,Male,Lucknow,Middle
CUST0025,55,Male,Lucknow,Upper Middle
CUST0026,19,Female,Chennai,Low
CUST0027,38,Male,Chennai,Middle
CUST0028,50,Male,Pune,Middle
CUST0029,29,Female,Mumbai,Middle
CUST0030,39,Female,Bengaluru,High
CUST0031,61,Male,Bengaluru,Middle
CUST0032,42,Female,Lucknow,Middle
CUST0033,66,Male,Pune,Upper Middle
CUST0034,44,Female,Jaipur,Middle
CUST0035,59,Male,Hyderabad,Low
CUST0036,45,Female,Mumbai,Middle
CUST0037,33,Male,Pune,Low
CUST0038,32,Male,Mumbai,Low
CUST0039,64,Male,Mumbai,Middle
CUST0040,68,Female,Mumbai,Middle
CUST0041,61,Male,Pune,High
CUST0042,72,Male,Lucknow,Middle
CUST0043,69,Female,Bengaluru,Middle
CUST0044,74,Female,Bengaluru,Middle
CUST0045,20,Male,Lucknow,Low
CUST0046,54,Male,Mumbai,Upper Middle
CUST0047,68,Female,Hyderabad,Low
CUST0048,24,Female,Delhi,High
CUST0049,38,Female,Pune,Low
CUST0050,26,Female,Delhi,Middle
CUST0051,56,Female,Jaipur,Low
CUST0052,35,Male,Lucknow,High
CUST0053,21,Female,Hyderabad,Middle
CUST0054,42,Male,Pune,Middle
CUST0055,31,Male,Lucknow,Low
CUST0056,67,Male,Mumbai,Upper Middle
CUST0057,26,Female,Bengaluru,Low
CUST0058,43,Male,Delhi,Upper Middle
CUST0059,70,Male,Chennai,Low
CUST0060,19,Female,Chennai,Low
CUST0061,37,Male,Hyderabad,Low
CUST0062,45,Male,Mumbai,Middle
CUST0063,64,Female,Jaipur,Middle
CUST0064,24,Male,Delhi,Low
CUST0065,61,Male,Mumbai,Upper Middle
