hospital_id,hospital_name,hospital_city,network_hospital,onboarding_date
HOSP001,Hospital 1,Lucknow,1,2025-03-12
HOSP002,Hospital 2,Hyderabad,1,2023-07-12
HOSP003,Hospital 3,Delhi,1,2023-11-07
HOSP004,Hospital 4,Jaipur,0,2023-04-29
HOSP005,Hospital 5,Bengaluru,1,2023-08-06
HOSP006,Hospital 6,Chennai,1,2024-03-02
HOSP007,Hospital 7,Bengaluru,1,2024-02-18
HOSP008,Hospital 8,Bengaluru,1,2023-04-24
HOSP009,Hospital 9,Pune,1,2023-05-25
HOSP010,Hospital 10,Delhi,1,2024-06-21
HOSP011,Hospital 11,Pune,1,2024-10-09
HOSP012,Hospital 12,Delhi,1,2023-10-30
HOSP013,Hospital 13,Lucknow,0,2025-01-13
HOSP014,Hospital 14,Lucknow,1,2025-05-30
HOSP015,Hospital 15,Jaipur,1,2024-08-10
HOSP016,Hospital 16,Delhi,0,2025-04-19
HOSP017,Hospital 17,Mumbai,1,2023-12-11
HOSP018,Hospital 18,Hyderabad,1,2025-03-24
HOSP019,Hospital 19,Jaipur,1,2025-03-11
HOSP020,Hospital 20,Jaipur,0,2023-01-01
HOSP021,Hospital 21,Mumbai,1,2023-05-27
HOSP022,Hospital 22,Hyderabad,1,2023-10-14
HOSP023,Hospital 23,Pune,0,2024-10-15
HOSP024,Hospital 24,Hyderabad,0,2023-02-22
HOSP025,Hospital 25,Pune,1,2023-10-31
HOSP026,Hospital 26,Lucknow,0,2023-03-10
HOSP027,Hospital 27,Bengaluru,1,2023-12-27
HOSP028,Hospital 28,Lucknow,1,2024-08-24
HOSP029,Hospital 29,Lucknow,0,2023-08-08
HOSP030,Hospital 30,Bengaluru,1,2024-12-04
HOSP031,Hospital 31,Hyderabad,1,2024-07-28
HOSP032,Hospital 32,Jaipur,1,2024-08-07
HOSP033,Hospital 33,Hyderabad,1,2023-06-10
HOSP034,Hospital 34,Pune,1,2024-11-11
HOSP035,Hospital 35,Mumbai,0,2023-03-30
HOSP036,Hospital 36,Pune,1,2024-11-18
HOSP037,Hospital 37,Mumbai,1,2025-02-19
HOSP038,Hospital 38,Lucknow,0,2024-08-07
HOSP039,Hospital 39,Bengaluru,1,2025-01-26
HOSP040,Hospital 40,Lucknow,1,2024-08-11
HOSP041,Hospital 41,Delhi,1,2023-06-08
HOSP042,Hospital 42,Hyderabad,0,2024-05-03
HOSP043,Hospital 43,Mumbai,1,2023-11-20
HOSP044,Hospital 44,Pune,1,2024-09-01
HOSP045,Hospital 45,Bengaluru,0,2024-01-16
HOSP046,Hospital 46,Mumbai,0,2023-04-12
HOSP047,Hospital 47,Pune,0,2024-05-08
HOSP048,Hospital 48,Hyderabad,1,2024-10-05
HOSP049,Hospital 49,Lucknow,1,2024-09-05
HOSP050,Hospital 50,Hyderabad,1,2023-01-19
HOSP051,Hospital 51,Chennai,1,2024-03-29
HOSP052,Hospital 52,Delhi,0,2024-04-26
HOSP053,Hospital 53,Chennai,1,2024-08-16
HOSP054,Hospital 54,Bengaluru,1,2024-02-01
HOSP055,Hospital 55,Mumbai,0,2023-10-06
HOSP056,Hospital 56,Bengaluru,0,2025-04-30
HOSP057,Hospital 57,Lucknow,0,2023-12-31
HOSP058,Hospital 58,Pune,1,2023-11-27
HOSP059,Hospital 59,Hyderabad,1,2024-10-02
HOSP060,Hospital 60,Chennai,1,2023-12-10
HOSP061,Hospital 61,Jaipur,1,2025-04-01
HOSP062,Hospital 62,Chennai,1,2024-03-30
HOSP063,Hospital 63,Lucknow,1,2024-08-23
HOSP064,Hospital 64,Chennai,1,2024-12-25
HOSP065,Hospital 65,Lucknow,0,2024-10-16
HOSP066,Hospital 66,Jaipur,0,2023-03-06
HOSP067,Hospital 67,Bengaluru,0,2023-03-17
HOSP068,Hospital 68,Hyderabad,0,2024-12-11
HOSP069,Hospital 69,Mumbai,1,2023-05-23
HOSP070,Hospital 70,Pune,1,2025-04-07
HOSP071,Hospital 71,Mumbai,0,2024-08-27
HOSP072,Hospital 72,Bengaluru,0,2024-04-17
HOSP073,Hospital 73,Pune,1,2024-02-21
HOSP074,Hospital 74,Chennai,1,2023-11-01
HOSP075,Hospital 75,Jaipur,1,2025-01-05
HOSP076,Hospital 76,Jaipur,1,2024-05-11
HOSP077,Hospital 77,Delhi,0,2023-10-18
HOSP078,Hospital 78,Bengaluru,0,2023-04-12
HOSP079,Hospital 79,Bengaluru,1,2023-09-24
HOSP080,Hospital 80,Hyderabad,1,2025-05-16
HOSP081,Hospital 81,Mumbai,0,2024-09-13
HOSP082,Hospital 82,Bengaluru,1,2025-04-21
HOSP083,Hospital 83,Bengaluru,1,2025-02-15
HOSP084,Hospital 84,Chennai,1,2023-01-03
HOSP085,Hospital 85,Chennai,1,2023-03-26
HOSP086,Hospital 86,Pune,1,2025-03-04
HOSP087,Hospital 87,Lucknow,1,2023-11-24
HOSP088,Hospital 88,Lucknow,1,2025-03-26
HOSP089,Hospital 89,Delhi,0,2024-03-25
HOSP090,Hospital 90,Lucknow,0,2024-03-29
HOSP091,Hospital 91,Hyderabad,1,2024-09-20
HOSP092,Hospital 92,Delhi,1,2023-08-09
HOSP093,Hospital 93,Pune,0,2023-06-03
HOSP094,Hospital 94,Chennai,1,2024-10-26
HOSP095,Hospital 95,Lucknow,1,2023-01-12
HOSP096,Hospital 96,Mumbai,0,2023-05-13
HOSP097,Hospital 97,Chennai,1,2023-10-31
HOSP098,Hospital 98,Jaipur,1,2023-10-20
HOSP099,Hospital 99,Hyderabad,1,2023-10-27
HOSP100,Hospital 100,Chennai,0,2025-01-09
