claim_month,total_claims,fraud_claims,fraud_loss,fraud_rate
2024-01,87,3,291907.26,0.034482758620689655
2024-02,63,4,272111.89,0.06349206349206349
2024-03,93,9,821158.05,0.0967741935483871
2024-04,91,12,979402.0,0.13186813186813187
2024-05,101,12,769833.41,0.1188118811881188
2024-06,96,11,783548.4,0.11458333333333333
2024-07,98,11,981723.56,0.11224489795918367
2024-08,81,11,952641.5700000001,0.13580246913580246
2024-09,95,10,494903.34,0.10526315789473684
2024-10,91,12,665213.7000000001,0.13186813186813187
2024-11,90,11,894658.81,0.12222222222222222
2024-12,83,6,382541.05,0.07228915662650602
2025-01,81,5,468680.82,0.06172839506172839
2025-02,68,2,206385.4,0.029411764705882353
2025-03,101,6,471571.38999999996,0.0594059405940594
2025-04,71,7,559834.86,0.09859154929577464
2025-05,92,10,595019.8,0.10869565217391304
2025-06,115,16,1161108.61,0.1391304347826087
2025-07,89,14,972539.63,0.15730337078651685
2025-08,95,12,773515.85,0.12631578947368421
2025-09,96,15,1400318.8900000001,0.15625
2025-10,81,5,171684.9,0.06172839506172839
2025-11,77,8,563492.08,0.1038961038961039
2025-12,81,7,310917.14,0.08641975308641975
2026-01,2,2,41317.58,1.0
2026-02,2,2,92504.35,1.0
