hospital_id,hospital_name,total_claims,fraud_claims,avg_claim_amount,avg_claim_per_day,fraud_loss,fraud_rate
HOSP001,Hospital 1,20,3,41159.8565,12970.138611904762,147609.98,15.0
HOSP002,Hospital 2,15,2,44726.33933333333,11289.627425468974,91412.77,13.333333333333334
HOSP003,Hospital 3,19,0,40418.95789473684,8199.193832693622,0.0,0.0
HOSP004,Hospital 4,22,4,49199.66863636363,11647.79461414217,304505.86,18.181818181818183
HOSP005,Hospital 5,18,2,42404.86666666667,11742.013554107929,63388.66,11.11111111111111
HOSP006,Hospital 6,22,1,40308.67727272728,6589.381027492709,97423.0,4.545454545454546
HOSP007,Hospital 7,13,2,35962.47,5909.088375918954,156725.01,15.384615384615385
HOSP008,Hospital 8,23,1,42373.61217391304,9336.66955308701,49033.96,4.3478260869565215
HOSP009,Hospital 9,19,0,48315.22157894736,7805.27528954379,0.0,0.0
HOSP010,Hospital 10,23,0,37568.16521739131,7650.905602024787,0.0,0.0
HOSP011,Hospital 11,21,1,49003.46,9693.49996594543,109692.56,4.761904761904762
HOSP012,Hospital 12,17,2,38131.595294117644,7568.331472527472,64668.56,11.764705882352942
HOSP013,Hospital 13,35,5,44512.40342857142,10267.601325770262,279215.96,14.285714285714286
HOSP014,Hospital 14,9,0,39465.99333333333,10594.454547640631,0.0,0.0
HOSP015,Hospital 15,21,3,50759.35857142857,13682.97162073112,316522.47,14.285714285714286
HOSP016,Hospital 16,18,3,48625.444444444445,10493.284469155844,346679.45,16.666666666666668
HOSP017,Hospital 17,26,1,41957.74269230769,10271.446644316155,120946.27,3.8461538461538463
HOSP018,Hospital 18,16,1,35822.3125,9733.742301136364,16772.51,6.25
HOSP019,Hospital 19,19,3,39197.301578947365,6515.42962635756,212238.90999999997,15.789473684210526
HOSP020,Hospital 20,18,3,54036.044444444444,17312.539940306608,312123.75,16.666666666666668
HOSP021,Hospital 21,25,2,34241.0968,6525.596318340548,192056.71000000002,8.0
HOSP022,Hospital 22,25,2,43824.9788,9658.179718201798,114407.40000000001,8.0
